OrderID,Is Business Order?,Purchase Date,SKU,Sell Qty,LineItem Total,Marketplace Fee,Fulfillment Fee
111-9443078-5937863,False,2024-10-31 17:13:32,38-FLD0-OIPP,1,92.99,-13.94,-6.97
113-5744084-7338608,False,2024-10-31 16:58:44,SL-QBLR-ZHBC,1,58.99,-8.84,-4.42
111-5796539-7360209,False,2024-10-31 15:43:22,QG-F35W-2A1W,1,63.99,-9.59,-4.79
114-4343426-7024224,False,2024-10-31 15:06:29,A5-AH5O-LY66,6,623.94,-93.59,-46.79
114-1283067-7725860,True,2024-10-31 14:47:14,EE-2T9O-0SJ2,1,189.99,-28.49,-14.24
114-9136357-4290637,False,2024-10-31 14:41:47,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
113-1524357-1762608,True,2024-10-31 14:40:38,YL-5UJ6-XRFA,1,69.99,-10.49,-5.24
112-0856985-7401035,False,2024-10-31 14:37:39,EN-IF50-UGWY,1,252.99,-37.94,-18.97
113-5611844-1994616,True,2024-10-31 14:36:43,YL-5UJ6-XRFA,2,139.98,-20.99,-10.49
114-0230748-3773847,True,2024-10-31 14:32:38,1N-O8R3-10H2,1,108.89,-16.330000000000002,-8.16
112-3164120-6119465,True,2024-10-31 14:16:03,U6-C024-0NT7,1,31.25,-4.68,-2.34
113-6409605-9221057,False,2024-10-31 14:02:50,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
111-3675992-7483456,False,2024-10-31 13:16:54,38-FLD0-OIPP,1,92.99,-13.94,-6.97
113-0222405-4005078,False,2024-10-31 10:58:05,38-FLD0-OIPP,1,92.99,-13.94,-6.97
111-4746295-0289828,False,2024-10-31 10:48:59,38-FLD0-OIPP,1,92.99,-13.94,-6.97
113-0920657-3947435,False,2024-10-31 07:05:16,OD-KC1Y-XBET,1,75.99,-11.39,-5.69
114-3727114-1377833,False,2024-10-31 06:47:21,4I-IIKX-57TL,3,173.97,-26.09,-13.04
114-4138174-9377833,False,2024-10-31 03:38:51,7C-4H44-RGGJ,1,334.13,-50.11,-25.05
114-0530099-2223414,False,2024-10-31 03:01:16,OX-04SP-XVTD,1,63.99,-9.59,-4.79
112-9136415-5763413,False,2024-10-31 00:42:42,OD-KC1Y-XBET,1,75.99,-11.39,-5.69
111-0769504-6721052,False,2024-10-31 00:33:03,OD-KC1Y-XBET,1,75.99,-11.39,-5.69
112-2818137-7884212,False,2024-10-31 00:00:40,R0-MMUR-V42R,1,65.99,-9.89,-4.94
113-1422325-0800224,False,2024-10-30 23:01:44,QG-F35W-2A1W,1,63.99,-9.59,-4.79
114-5713372-4121002,False,2024-10-30 21:29:34,SL-QBLR-ZHBC,1,58.99,-8.84,-4.42
114-3106481-8937006,False,2024-10-30 20:57:18,HY-1Z9S-NYD2,1,33.99,-5.09,-2.54
113-7796330-1967408,False,2024-10-30 20:45:09,38-FLD0-OIPP,1,92.99,-13.94,-6.97
114-7806134-2714610,True,2024-10-30 20:12:36,EN-IF50-UGWY,1,250.99,-37.64,-18.82
114-3265537-3634631,False,2024-10-30 20:06:33,WU-VAHS-F26T,1,108.99,-16.34,-8.17
111-7792599-3833029,False,2024-10-30 19:55:30,OX-04SP-XVTD,1,63.99,-9.59,-4.79
111-9952772-3110652,False,2024-10-30 18:55:49,4L-37DL-41Q0,1,149.99,-22.49,-11.24
113-5794740-4015438,False,2024-10-30 17:56:08,F6-WCQ2-SQE8,1,59.99,-8.99,-4.49
113-3873803-1485811,True,2024-10-30 17:39:50,VA-J5TS-FKRE,1,87.99,-13.19,-6.59
113-2617653-0893050,False,2024-10-30 17:23:19,OX-04SP-XVTD,1,63.99,-9.59,-4.79
114-9608403-7623427,True,2024-10-30 17:03:34,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
114-0073345-1145066,True,2024-10-30 17:01:58,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
111-9992080-9699465,False,2024-10-30 16:47:53,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
113-9890037-1116261,False,2024-10-30 16:33:58,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
112-2246030-8069829,True,2024-10-30 16:14:36,WU-VAHS-F26T,1,107.9,-16.18,-8.09
112-1851583-4633853,False,2024-10-30 15:58:55,B2-AHSB-VI7Q,1,158.99,-23.84,-11.92
112-6846006-3440260,False,2024-10-30 15:51:38,WC-T2O1-O9OM,5,259.95,-38.99,-19.49
111-6611338-9601822,False,2024-10-30 15:39:28,OX-04SP-XVTD,1,63.99,-9.59,-4.79
111-6611338-9601822,False,2024-10-30 15:39:28,OX-04SP-XVTD,1,63.99,-9.59,-4.79
111-7219569-4373006,False,2024-10-30 14:50:55,WC-T2O1-O9OM,2,103.98,-15.59,-7.79
113-3579810-8977043,False,2024-10-30 14:47:33,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
114-7737019-1841805,True,2024-10-30 14:29:14,F9-XHQL-9PQM,2,325.94,-48.89,-24.44
113-7028563-2107403,False,2024-10-30 14:23:19,WU-VAHS-F26T,1,108.99,-16.34,-8.17
112-1122046-8093827,False,2024-10-30 14:22:55,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
111-5420713-5389031,True,2024-10-30 13:46:07,F6-WCQ2-SQE8,1,59.39,-8.9,-4.45
113-8533643-5073006,False,2024-10-30 12:55:15,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
113-5299399-5469834,False,2024-10-30 11:51:46,SL-QBLR-ZHBC,4,235.96,-35.39,-17.69
111-0191289-3721013,True,2024-10-30 11:08:49,SL-QBLR-ZHBC,1,58.99,-8.84,-4.42
111-7773776-1741003,False,2024-10-30 11:01:30,WC-T2O1-O9OM,2,103.98,-15.59,-7.79
114-1940606-4749062,False,2024-10-30 04:59:50,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
111-8469244-0361007,False,2024-10-30 04:30:53,A5-AH5O-LY66,1,103.99,-15.59,-7.79
114-2858874-9261867,False,2024-10-30 03:11:40,WC-T2O1-O9OM,1,51.99,-7.79,-3.89
114-8592889-9117021,False,2024-10-30 01:28:14,OX-04SP-XVTD,2,127.98,-19.19,-9.59
111-0649008-7843467,False,2024-10-29 23:37:56,WC-T2O1-O9OM,1,51.99,-7.79,-3.89
112-8533939-0776249,False,2024-10-29 22:29:24,38-FLD0-OIPP,1,92.99,-13.94,-6.97
112-3948027-8024238,False,2024-10-29 22:16:58,FA-WSUJ-WZ52,1,289.99,-43.49,-21.74
112-6185822-3121065,False,2024-10-29 22:12:26,SL-QBLR-ZHBC,1,58.99,-8.84,-4.42
114-2581250-4512251,True,2024-10-29 21:48:35,4L-PZXF-FX5F,1,41.99,-6.29,-3.14
113-3697781-3448252,False,2024-10-29 21:40:17,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
112-6063974-4206602,False,2024-10-29 21:23:13,RI-A8IC-1OH7,1,64.99,-9.74,-4.87
112-5643688-0828263,False,2024-10-29 20:06:07,LE-OLKD-W5XW,2,123.98,-18.59,-9.29
112-5643688-0828263,False,2024-10-29 20:06:07,LE-OLKD-W5XW,2,123.98,-18.59,-9.29
114-5898099-5381857,False,2024-10-29 19:02:45,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
111-5261153-3826658,False,2024-10-29 18:19:28,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
114-7313619-7364220,False,2024-10-29 18:11:48,A5-AH5O-LY66,1,103.99,-15.59,-7.79
113-6036168-7597037,True,2024-10-29 18:06:28,SQ-1HQY-ZYNE,1,134.63,-20.19,-10.09
113-4495255-0992206,False,2024-10-29 17:35:23,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
111-2254821-7716218,False,2024-10-29 17:14:42,B2-AHSB-VI7Q,1,158.99,-23.84,-11.92
114-4038444-1914649,False,2024-10-29 16:45:55,Q9-X4YZ-LXU8,1,128.99,-19.34,-9.67
112-0289001-3783462,False,2024-10-29 16:34:14,A5-AH5O-LY66,2,207.98,-31.19,-15.59
114-7366404-7104204,True,2024-10-29 15:31:38,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
112-7496850-4645008,False,2024-10-29 14:39:57,OD-KC1Y-XBET,1,75.99,-9.12,-4.16
114-7430239-9857004,False,2024-10-29 14:33:33,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
114-3083111-7189068,False,2024-10-29 14:32:34,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
113-9007964-4276210,False,2024-10-29 13:48:23,WC-T2O1-O9OM,1,51.99,-7.8,-3.92
114-6971786-4072213,True,2024-10-29 13:44:26,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
112-0192968-3365010,False,2024-10-29 13:35:09,WU-VAHS-F26T,2,217.98,-32.69,-16.34
111-9468728-8638620,False,2024-10-29 12:49:49,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
112-8353767-0745046,False,2024-10-29 12:24:08,YX-HUGU-EOHQ,1,192.99,-28.94,-14.47
114-0599918-2078624,False,2024-10-29 12:01:06,B2-AHSB-VI7Q,1,158.99,-23.84,-11.92
114-4963403-3227415,False,2024-10-29 08:20:36,EN-IF50-UGWY,1,252.99,-37.94,-18.97
111-9377851-0006613,False,2024-10-29 07:39:50,OD-KC1Y-XBET,2,151.98,-18.24,-8.32
112-7896755-0017847,False,2024-10-29 03:58:58,OX-04SP-XVTD,1,63.99,-9.6,-11.41
111-6163860-8556261,False,2024-10-29 03:51:41,OX-04SP-XVTD,1,63.99,-9.6,-11.41
114-3576998-2280242,False,2024-10-29 02:21:05,Y7-X8FO-PWPJ,1,58.99,-8.85,-14.45
113-5848950-4194626,False,2024-10-29 02:11:28,L6-CYBY-JQFF,1,235.99,-35.39,-17.69
111-2909933-3606608,False,2024-10-29 01:59:59,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
111-5168811-8207415,False,2024-10-29 01:47:39,1S-50U2-CBTR,1,108.99,-16.34,-8.17
113-4542819-6923434,False,2024-10-29 01:32:32,Z3-MTFW-2ERI,2,215.98,-32.4,-8.32
114-8204538-1023408,False,2024-10-29 01:21:19,WC-T2O1-O9OM,1,51.99,-7.79,-3.89
111-2702033-7141830,False,2024-10-28 23:28:43,WC-T2O1-O9OM,1,51.99,-7.8,-3.92
111-1502037-0697846,False,2024-10-28 23:06:09,B2-AHSB-VI7Q,1,158.99,-23.84,-11.92
113-0103369-8603437,False,2024-10-28 22:09:44,A5-AH5O-LY66,1,103.99,-15.6,-5.68
112-2168789-6619464,False,2024-10-28 22:03:48,SL-QBLR-ZHBC,1,58.99,-8.85,-4.43
113-0978745-8281843,False,2024-10-28 21:34:29,OX-04SP-XVTD,1,63.99,-9.6,-11.41
114-1129959-0135433,False,2024-10-28 21:30:05,SL-QBLR-ZHBC,2,117.98,-17.69,-8.84
113-7362975-8621811,False,2024-10-28 21:05:04,EN-IF50-UGWY,1,252.99,-37.94,-18.97
113-7202252-1541031,False,2024-10-28 21:04:54,Z3-MTFW-2ERI,6,647.94,-97.19,-48.59
114-1684289-5090667,False,2024-10-28 20:44:30,WU-VAHS-F26T,1,108.99,-16.34,-8.17
112-8861538-7581033,True,2024-10-28 20:25:40,A5-AH5O-LY66,1,103.99,-15.6,-5.68
113-4082420-3302645,False,2024-10-28 19:59:54,BR-A3A5-OD35,1,110.99,-16.65,-4.76
112-5132060-0340256,False,2024-10-28 19:35:20,OX-04SP-XVTD,1,63.99,-9.6,-11.41
111-7702727-4523456,False,2024-10-28 19:24:46,OX-04SP-XVTD,1,63.99,-9.6,-11.41
113-8726620-8131435,False,2024-10-28 19:13:20,QG-F35W-2A1W,1,63.99,-9.6,-4.84
112-1348385-8514627,False,2024-10-28 18:36:31,WC-T2O1-O9OM,1,51.99,-7.8,-3.92
113-5265333-2725016,True,2024-10-28 17:26:45,HM-0SYS-JP69,1,65.99,-9.89,-4.94
114-7548800-0297852,False,2024-10-28 16:49:44,A5-AH5O-LY66,1,103.99,-15.6,-5.68
113-2350577-7301854,True,2024-10-28 16:18:04,FA-WSUJ-WZ52,1,287.09,-43.06,-15.41
113-5145682-9368259,False,2024-10-28 15:56:12,F9-XHQL-9PQM,1,164.62,-19.75,-7.78
113-3260515-8917002,False,2024-10-28 15:54:35,B2-AHSB-VI7Q,1,158.99,-23.85,-17.69
111-4470505-0841820,True,2024-10-28 15:39:47,HM-0SYS-JP69,2,130.66,-19.6,-7.84
112-0252865-9013832,False,2024-10-28 15:39:05,A5-AH5O-LY66,1,103.99,-15.6,-5.68
112-1224714-4104207,True,2024-10-28 15:05:02,SQ-1HQY-ZYNE,1,134.63,-17.77,-4.84
113-6854985-2657030,False,2024-10-28 14:59:18,IK-3K32-541W,1,307.99,-46.2,-6.61
113-6465776-1038632,True,2024-10-28 14:57:11,1N-O8R3-10H2,1,109.99,-16.490000000000002,-8.24
113-3289072-4773800,False,2024-10-28 14:55:43,WC-T2O1-O9OM,1,51.99,-7.8,-3.92
113-0327133-1627458,False,2024-10-28 14:50:10,OX-04SP-XVTD,1,63.99,-9.6,-11.41
112-3607411-8394645,False,2024-10-28 14:38:51,WU-VAHS-F26T,1,108.99,-16.34,-8.17
112-6407278-5339465,False,2024-10-28 14:26:03,HM-0SYS-JP69,2,131.98,-19.8,-7.84
114-5617749-4545804,False,2024-10-28 14:02:45,OX-04SP-XVTD,1,63.99,-9.6,-11.41
113-6544412-7629012,False,2024-10-28 13:45:53,WU-VAHS-F26T,1,108.99,-16.34,-8.17
113-6322073-2167450,False,2024-10-28 13:41:11,FA-WSUJ-WZ52,1,289.99,-43.49,-21.74
111-3050092-7505849,False,2024-10-28 13:38:29,LE-OLKD-W5XW,2,123.98,-18.6,-8.32
113-9689798-9237831,False,2024-10-28 13:11:18,OX-04SP-XVTD,1,63.99,-9.6,-11.41
113-0551733-4828245,False,2024-10-28 13:06:12,U8-HCE4-BVFN,1,191.99,-28.8,-7.7
111-0158950-6798637,True,2024-10-28 12:24:30,1N-O8R3-10H2,2,217.78,-32.660000000000004,-16.330000000000002
112-3137892-4002644,True,2024-10-28 11:27:16,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
113-2070237-6420203,True,2024-10-28 09:56:30,4L-37DL-41Q0,1,145.99,-21.9,-12.75
113-6032786-6684248,False,2024-10-28 09:04:05,QQ-DJOO-UPTP-stickerless,1,87.99,-10.56,-6.1
114-4144218-5371435,False,2024-10-28 05:20:54,XZ-A4VF-DKLS,1,148.99,-22.35,-11.23
114-2906279-3617017,False,2024-10-28 04:38:39,OX-04SP-XVTD,1,63.99,-9.6,-11.41
114-2259415-7601031,False,2024-10-28 03:22:16,WU-VAHS-F26T,1,108.99,-13.08,-12.55
114-4460537-5563404,False,2024-10-28 02:29:53,OD-KC1Y-XBET,2,151.98,-18.24,-8.32
114-0624457-5865848,False,2024-10-28 01:12:05,F9-XHQL-9PQM,1,164.62,-24.69,-12.34
113-3883172-1982665,False,2024-10-28 00:39:50,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
112-8355102-8860246,False,2024-10-27 23:26:41,OX-04SP-XVTD,1,63.99,-9.6,-11.41
111-0582807-9519420,False,2024-10-27 23:18:53,OX-04SP-XVTD,1,63.99,-9.6,-11.41
113-4585136-1618635,False,2024-10-27 21:40:03,LU-2J9P-4X19,1,76.99,-11.55,-4.76
111-9184412-5535447,True,2024-10-27 18:01:31,A5-AH5O-LY66,1,105.44,-15.82,-5.68
113-5613704-1774668,False,2024-10-27 17:56:05,SQ-1HQY-ZYNE,2,271.98,-35.76,-9.68
111-6750363-5375460,False,2024-10-27 17:50:42,LU-2J9P-4X19,1,76.99,-11.55,-4.76
111-9558264-7757002,False,2024-10-27 17:49:04,5B-FJH7-O3UO,1,48.99,-7.35,-5.84
113-3542638-2669062,False,2024-10-27 17:36:28,Q2-Q6IM-8F9C,1,130.99,-19.65,-9.06
114-0011408-6793833,False,2024-10-27 16:29:15,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
111-5100650-6410660,False,2024-10-27 15:23:37,A5-AH5O-LY66,1,109.99,-16.5,-5.68
112-1431460-7886664,True,2024-10-27 14:18:27,SQ-1HQY-ZYNE,1,134.63,-17.77,-4.84
113-5275472-5701001,False,2024-10-27 14:01:27,WC-T2O1-O9OM,1,51.99,-7.8,-3.92
114-7282895-5142641,False,2024-10-27 10:16:12,OD-KC1Y-XBET,2,151.98,-18.24,-8.32
114-7178164-1798648,False,2024-10-27 06:03:14,QQ-DJOO-UPTP-stickerless,1,87.99,-10.56,-6.1
112-6640368-8831418,False,2024-10-27 02:33:31,L3-H0NB-G7HD,1,32.99,-4.95,-3.92
112-0187141-8244256,False,2024-10-27 01:49:11,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
113-6857028-7640269,False,2024-10-27 01:32:02,F9-XHQL-9PQM,1,164.62,-19.75,-7.78
112-7996033-5271418,False,2024-10-27 01:21:41,LE-OLKD-W5XW,2,123.98,-18.6,-8.32
112-2534321-6167456,False,2024-10-26 21:02:03,FB-C76T-LUM2,1,133.99,-20.1,-5.59
111-7307386-1882658,False,2024-10-26 19:33:40,OX-04SP-XVTD,1,63.99,-9.6,-11.41
112-4229471-5425804,False,2024-10-26 19:12:05,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
112-8897151-5090652,False,2024-10-26 19:02:35,44-N6F5-U9PC,1,88.94,-13.34,-4.84
112-5191876-6585061,False,2024-10-26 17:39:47,44-N6F5-U9PC,1,88.94,-13.34,-4.84
112-1146722-7239412,False,2024-10-26 17:24:46,OD-KC1Y-XBET,2,151.98,-18.24,-8.32
113-1138608-4215452,False,2024-10-26 16:43:33,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
113-2522525-5739414,False,2024-10-26 16:23:16,LU-2J9P-4X19,1,82.5,-12.38,-4.76
114-1212797-0152219,False,2024-10-26 16:22:32,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
111-1284977-0266651,False,2024-10-26 16:00:36,44-N6F5-U9PC,1,88.94,-13.34,-4.84
114-7731197-0354620,False,2024-10-26 15:52:07,Y9-4FLW-XGZS,1,147.99,-22.2,-13.13
114-3350753-4973035,False,2024-10-26 15:48:30,FB-C76T-LUM2,1,133.99,-20.1,-5.59
112-6557567-3141842,False,2024-10-26 15:31:02,OX-04SP-XVTD,1,63.99,-9.6,-11.41
114-5146572-8653849,False,2024-10-26 15:01:09,OX-04SP-XVTD,1,63.99,-9.59,-4.79
113-2639081-7296217,False,2024-10-26 14:42:57,44-N6F5-U9PC,1,88.94,-13.34,-4.84
112-7098378-0483403,False,2024-10-26 14:03:20,LM-36P4-UDXL,1,191.99,-28.8,-8.02
112-4191041-1138620,False,2024-10-26 14:02:56,YX-HUGU-EOHQ,1,192.99,-28.95,-6.61
111-8706534-8752231,False,2024-10-26 13:43:43,WU-VAHS-F26T,1,108.99,-13.08,-12.55
111-3622426-7674617,False,2024-10-26 13:00:28,HM-0SYS-JP69,4,263.96,-39.6,-15.68
112-0335513-8363435,False,2024-10-26 12:17:08,OX-04SP-XVTD,1,63.99,-9.6,-11.41
111-6953022-1413821,False,2024-10-26 09:03:43,YX-HUGU-EOHQ,1,192.99,-28.95,-6.61
113-9422858-6473843,False,2024-10-26 07:54:57,L3-H0NB-G7HD,1,32.99,-4.95,-3.92
114-6498379-4514643,False,2024-10-26 05:33:58,OD-KC1Y-XBET,1,75.99,-9.12,-4.16
114-8946345-6753056,False,2024-10-26 03:21:27,OD-KC1Y-XBET,2,151.98,-18.24,-8.32
113-8986430-7637057,False,2024-10-26 03:06:08,OX-04SP-XVTD,4,255.96,-38.4,-45.64
111-8288430-7041811,False,2024-10-26 02:51:04,3F-QFCG-9AIV,2,85.98,-12.9,-7.84
114-9917898-4567435,False,2024-10-26 02:33:43,L3-H0NB-G7HD,1,32.99,-4.95,-3.92
113-2462466-6958626,False,2024-10-26 01:56:19,FA-WSUJ-WZ52,1,289.99,-43.5,-15.41
114-6210599-1897823,False,2024-10-26 01:32:26,LM-36P4-UDXL,1,191.99,-28.8,-8.02
111-8316304-9529804,False,2024-10-26 01:00:49,OX-04SP-XVTD,1,63.99,-9.6,-11.41
114-6645297-4159425,False,2024-10-26 00:22:30,1S-50U2-CBTR,2,217.98,-32.7,-11.36
114-5185608-4817051,False,2024-10-26 00:12:36,YX-HUGU-EOHQ,1,192.99,-28.95,-6.61
112-1508031-7615419,True,2024-10-25 23:58:47,DT-27B6-3I5U,2,179.98,-27.0,-8.86
113-0915700-2729801,False,2024-10-25 23:29:02,3M-6SGL-TQ9P,1,51.33,-7.7,-5.29
112-4917651-7130630,False,2024-10-25 23:20:01,DT-27B6-3I5U,1,89.99,-13.5,-4.43
114-1165279-0061828,False,2024-10-25 20:57:46,QG-F35W-2A1W,2,127.98,-19.2,-9.68
113-9948680-1533821,False,2024-10-25 19:46:59,LE-OLKD-W5XW,1,61.99,-9.3,-4.16
112-5159171-4596203,True,2024-10-25 19:41:10,YL-5UJ6-XRFA,2,139.98,-20.99,-10.49
111-1817391-5641857,False,2024-10-25 19:36:30,DT-27B6-3I5U,1,89.99,-13.5,-4.43
113-3161531-8459455,False,2024-10-25 18:48:34,WU-VAHS-F26T,1,108.99,-13.08,-12.55
114-7906119-5886640,True,2024-10-25 18:04:38,3M-6SGL-TQ9P,1,49.49,-7.42,-5.29
112-9102356-0384224,False,2024-10-25 17:56:51,SQ-1HQY-ZYNE,2,271.98,-35.76,-9.68
111-7954795-1815401,False,2024-10-25 17:53:07,A5-AH5O-LY66,3,329.97,-49.5,-17.04
112-0798613-1782620,False,2024-10-25 17:41:02,Q2-Q6IM-8F9C,1,130.99,-19.65,-9.06
112-9802710-5505830,False,2024-10-25 17:36:11,44-N6F5-U9PC,1,88.94,-13.34,-6.67
112-6819454-8569852,False,2024-10-25 17:33:06,WU-VAHS-F26T,1,108.99,-13.08,-12.55
112-8111943-7103439,False,2024-10-25 17:21:44,44-N6F5-U9PC,1,88.94,-13.34,-4.84
112-9878910-5088221,False,2024-10-25 16:50:36,OX-04SP-XVTD,2,127.98,-19.2,-22.82
114-5384901-7875415,False,2024-10-25 15:57:10,HM-0SYS-JP69,2,131.98,-19.8,-7.84
112-1894635-6385002,False,2024-10-25 15:45:37,DT-27B6-3I5U,1,89.99,-13.5,-4.43
114-0967590-2709823,False,2024-10-25 15:31:44,Y7-X8FO-PWPJ,1,58.99,-8.85,-14.45
113-6579246-0908251,False,2024-10-25 15:25:11,CP-68EC-0MKQ,1,55.99,-8.4,-7.54
113-1653594-7047435,False,2024-10-25 14:53:41,1N-O8R3-10H2,1,109.99,-13.2,-6.1
113-0273718-5905019,False,2024-10-25 14:53:36,SQ-1HQY-ZYNE,2,271.98,-35.76,-9.68
111-4285116-2445830,False,2024-10-25 14:50:39,LE-OLKD-W5XW,1,61.99,-9.3,-4.16
112-7818395-1333811,False,2024-10-25 14:49:37,44-N6F5-U9PC,1,88.94,-13.34,-4.84
111-6588163-9923442,False,2024-10-25 14:28:47,44-N6F5-U9PC,1,88.94,-13.34,-4.84
111-3122997-5335402,False,2024-10-25 14:26:43,HM-0SYS-JP69,1,65.99,-9.9,-3.92
113-0603516-2382642,False,2024-10-25 12:51:09,OX-04SP-XVTD,1,63.99,-9.59,-4.79
111-7161443-0548239,False,2024-10-25 12:48:31,WC-T2O1-O9OM,2,103.98,-15.6,-7.84
112-1729186-1781008,False,2024-10-25 12:12:17,SQ-1HQY-ZYNE,2,271.98,-35.76,-9.68
114-8332043-3812255,False,2024-10-25 10:43:47,WU-VAHS-F26T,1,108.99,-13.08,-12.55
113-3464814-4781037,False,2024-10-25 04:46:59,WC-T2O1-O9OM,1,51.99,-7.8,-3.92
111-9352928-4173048,False,2024-10-25 02:37:27,5B-FJH7-O3UO,1,48.99,-7.35,-5.84
113-0830127-7524234,False,2024-10-25 02:05:02,1S-50U2-CBTR,1,102.99,-15.45,-5.68
112-3291725-1601800,False,2024-10-25 01:00:39,OD-KC1Y-XBET,1,75.99,-9.12,-4.16
113-0744322-3369001,False,2024-10-25 00:55:59,OX-04SP-XVTD,1,63.99,-9.6,-11.41
113-4672324-9809807,False,2024-10-25 00:44:29,1S-50U2-CBTR,1,102.99,-15.45,-5.68
113-9723007-2652237,False,2024-10-25 00:34:32,CP-68EC-0MKQ,1,55.99,-8.4,-7.54
111-5093706-3021038,False,2024-10-24 23:26:29,3V-FAAD-TLKS,1,89.15,-13.37,-5.29
114-1721682-9091427,False,2024-10-24 23:07:52,WC-T2O1-O9OM,1,51.99,-7.8,-3.92
113-7257461-2181041,False,2024-10-24 22:35:49,FA-WSUJ-WZ52,1,289.99,-43.5,-15.41
114-0465641-7581008,False,2024-10-24 22:04:53,DT-27B6-3I5U,2,179.98,-27.0,-8.86
114-0332991-2390661,False,2024-10-24 21:50:26,9M-HFKT-CC95,1,76.99,-11.55,-5.68
111-5086964-9293828,False,2024-10-24 21:03:14,1S-50U2-CBTR,1,102.99,-15.45,-5.68
111-8292866-5265840,False,2024-10-24 20:33:24,1S-50U2-CBTR,1,102.99,-15.45,-5.68
111-6850182-7824262,False,2024-10-24 20:28:58,1S-50U2-CBTR,1,102.99,-15.45,-5.68
112-5307072-1733025,False,2024-10-24 19:53:31,OX-04SP-XVTD,1,63.99,-9.6,-11.41
114-3059314-7551430,True,2024-10-24 19:47:40,LE-OLKD-W5XW,1,61.99,-9.3,-4.16
113-7100656-3682650,False,2024-10-24 19:27:22,1S-50U2-CBTR,2,205.98,-30.9,-11.36
113-3182852-2112224,False,2024-10-24 18:58:25,HM-0SYS-JP69,1,65.99,-9.9,-3.92
113-5079361-4612214,False,2024-10-24 18:36:02,HM-0SYS-JP69,1,65.99,-9.9,-3.92
112-8410977-8948222,False,2024-10-24 18:28:31,SQ-1HQY-ZYNE,1,135.99,-17.88,-4.84
